DATES,CAR,SGJ,1834,JMMBGL,JSE
43635,7.86,55.09,1.05,39.03,21.06
43636,8.19,55.58,1.06,38.75,22.19
43637,8.17,58.4,1.06,38.5,25.01
43640,8.19,58.7,1.06,38.69,27.6
43641,8.16,56.85,1,38.89,29.29
43642,8.19,56.63,0.75,39.12,26.95
43643,8.04,55.92,0.82,39.65,25.58
43644,8.02,57.5,#N/A N/A,39.99,28.02
43647,8.03,57.55,0.9,41.34,27.99
43648,7.95,57.48,0.9,43.04,28.14
43649,7.94,55.43,1.04,44.38,29.02
43650,8,56.42,1.1,46.35,28.53
43651,7.98,56.63,1.1,47.85,28.61
43654,7.99,56.7,1.08,47.89,29.53
43655,8,57.19,#N/A N/A,53,30.08
43656,7.91,57.27,1.05,51.07,33.25
43657,7.92,57.37,1.05,46.97,31.18
43658,7.83,57.1,1.03,52.49,32.64
43661,7.8,57.01,1.03,53.16,30.36
43662,7.82,57,1.03,52.59,32.79
43663,7.88,57.5,1.13,52.63,34.24
43664,7.81,56.75,1.09,47.91,34.53
43665,7.88,56.8,#N/A N/A,53.2,36
43668,7.88,56.79,1.15,51.06,37.44
43669,7.89,56.05,1.1,52.58,37.87
43670,7.83,55.78,#N/A N/A,52.55,38.51
43671,7.88,55.52,0.82,53.31,37.01
43672,7.92,55.44,#N/A N/A,51.3,33.2
43675,7.91,55,0.9,47.04,32.12
43676,7.89,55.58,#N/A N/A,51.95,29.4
43677,7.9,56.67,#N/A N/A,51.41,29.28
43679,7.95,55.58,0.98,52.85,28.39
43682,7.89,54.25,#N/A N/A,52.34,28.25
43684,7.95,53.19,1.09,52.12,25.19
43685,7.98,55.15,1.03,51.84,22.84
43686,7.87,56.47,#N/A N/A,51.52,18.07
43689,8.18,55.92,1.02,50.27,25.58
43690,8.19,55.62,1.03,49.68,28.49
43691,7.97,53.11,1,48.79,29.58
43692,7.92,54.49,#N/A N/A,49.72,29.99
43693,7.91,56.1,1.03,49.93,30.01
43696,8.02,54.42,1.03,51.26,30.02
43697,7.91,56.98,1,52.63,29.92
43698,7.97,56.55,1.07,52.66,30.02
43699,8.02,55.24,1.07,52.64,30.96
43700,7.95,57.21,#N/A N/A,52.55,31.56
43703,8.1,55.07,1,51.15,29.69
43704,8.57,55.17,1.13,49.31,28.4
43705,8.5,55.12,1.13,49.9,27.28
43706,8.53,54.29,1.12,50.49,24.84
43707,8.68,54.37,1.2,50.66,25.36
43710,8.4,55.9,1.16,49.83,25.3
43711,8.57,55.37,1.22,49.58,25.81
43712,8.53,55.6,1.22,49.25,23.8
43713,8.44,57,1.23,49.39,25.77
43714,8.4,57.48,1.19,49.49,24.88
43717,8.75,55.46,1.17,49.45,24.67
43718,8.8,56.38,1.17,47.95,23.97
43719,8.55,56.49,1.2,48.93,25.76
43720,8.31,54.28,1.23,48.36,24.76
43721,8.38,56.21,1.23,47.08,25.54
43724,8.5,57.5,1.17,48,27
43725,8.06,56.66,1.17,47.45,26.61
43726,8.32,56.6,1.01,43.92,25.7
43727,8,57.01,1.06,46.81,25.58
43728,8.15,57.5,1.11,46.37,26.02
43731,8.27,57.5,1.19,46,26.77
43732,8.38,58.93,1.18,41.42,25.42
43733,8.5,60.01,1.09,41.13,25.77
43734,8.1,59.96,1.15,43.09,26.64
43735,8.48,60.85,1.06,44.79,27.21
43738,8.13,61.51,1.1,43.56,26.57
43739,8.12,61.31,1.18,46.51,27.37
43740,8.14,61.64,#N/A N/A,45.63,27.17
43741,8.13,61.78,#N/A N/A,45.12,27.43
43742,8.27,61.5,1.03,46.28,27.16
43745,8.29,58.01,1.05,39.09,27.98
43746,8.03,58.62,#N/A N/A,43.68,29.03
43747,8.01,58.63,#N/A N/A,42.1,29.79
43748,8.01,59.06,#N/A N/A,41.79,29.76
43749,8.09,57.93,1.03,42.66,28.6
43752,8.03,57.25,#N/A N/A,42.64,28.64
43753,8.08,56.83,#N/A N/A,42.67,28.6
43754,8.17,57.23,1.04,41.21,28.98
43755,8.06,56.11,1.1,40.98,28.67
43756,8.08,58.29,1.1,40.09,28.59
43760,8,56.56,1.08,40.8,28.41
43761,8,55.97,1.04,41.8,28.12
43762,7.96,55.72,1.14,40.51,28.21
43763,7.95,55.82,1.14,39.35,28.34
43766,7.89,53.25,#N/A N/A,39.88,28.24
43767,7.9,52.13,1.05,40.98,28.9
43768,7.9,53.21,1.05,41.07,28.99
43769,8.08,55.19,1.11,42.38,29.19
43770,8.65,56.63,#N/A N/A,42.24,29.42
43773,8.51,57.2,1.15,42.48,29.91
43774,8.29,55.68,1.14,41.99,29.21
43775,8.44,57.57,1.14,41.56,29.76
43776,8.61,55.25,#N/A N/A,41.92,29.39
43777,8.11,57.04,#N/A N/A,42.91,30.15
43780,8.36,55.13,1.04,43,31.61
43781,8.71,55.21,1.14,42.98,31.67
43782,8.73,55.55,1.14,43,33.39
43783,8.73,55.43,1.24,42.86,34.39
43784,8.71,52.87,1.22,42.27,31.13
43787,8.63,52.12,1.2,42.6,28.54
43788,8.56,55,1.15,42.79,27.15
43789,8.34,54.63,1.12,43.35,28.66
43790,8.19,54.5,1.16,44.95,29.65
